business_or_person,category
american  ,travel
georgian airways ltd,travel
lufthan,travel
lufthan   ,travel
ryanair   mkere      ,travel
ryanaircfrkg,travel
spirit ai ,travel
tap,travel
vueling anndfbqc,travel
 montaditos la sure,dining
 paysans,dining
 sons brewing co,dining
 topcafe,dining
"""nella"" imbissstube",dining
-gm t espada,dining
about coffee gmbh,dining
alser cafe,dining
andrew's,dining
ankerbrot,dining
aramark dk,dining
areas portugal sa,dining
autogrill ,dining
addicted to rock store,dining
adlerhof,dining
arco adige,dining
beaulieu epicerie fine,dining
bellako sant joan,dining
biltmore coral gables,dining
bormuth,dining
bubble king,dining
burger boutique,dining
burger king elterleinp,dining
baeckerei oefferl scho,dining
belgorama,dining
bistrot brussels airpo,dining
boussi falafel  ep gmb,dining
bäckerei cafe felzl,dining
bäckerei martini,dining
c united cntr concess,dining
cafe creme,dining
cafe cremerie,dining
cafe fosc,dining
cafe goldener papage,dining
cafe hungry biker,dining
cafe larc,dining
cafe melangerie,dining
cafe wortner,dining
caffe umbria n clark,dining
camparino srl,dining
ccg@perez art museum p,entertainment
charlie p's,dining
chef express s.p.a.,dining
chicha limona,dining
chick-fil-a ,dining
chipotle ,dining
cienfuegos coffee llc,dining
cke*threefold cafe mia,dining
cms*bettoli trading co,dining
cocina del barrio,dining
coffee junkie,dining
coffee pirates,dining
coldstone ,dining
copenhagen coffe,dining
cph coffee lab,dining
cafe ,dining
cafe hurricane e k,dining
cafe restaurant khm,dining
cafe am hafen,dining
cafe del sol,dining
caffe a casa,dining
cennur & volksgarten,entertainment
cinnamood,dining
crazy khinkali,dining
das augustin,dining
db fernverkehr ag,travel
dd doordash dairyquee,dining
dd doordash eataly,dining
dd doordash sultansma,dining
dd doordash xoco,dining
deezfruta inc,dining
deli lane cafe and tav,dining
disco volante,dining
doenermeister,dining
dunkin  q,dining
der mann - backwaren ,dining
dietmar horvath backwa,dining
dorian's through the r,dining
eggholic,dining
el charro taqueria llc,dining
el glop,dining
el gran inka  biscayne,dining
el jefe del otro,dining
el rey de las fritas,dining
el rinconcito latino k,dining
espresso house,dining
eisgreissler,dining
espressomobil,dining
feuerwehrwagner,dining
flor rivoli,dining
foodstock,dining
four season the blvd,dining
frau mayer,dining
frontera grill b ord,dining
fuzzys taco shop - min,dining
felber dassanowskyweg,dining
felber hernals,dining
five guys graben,dining
food lab s.r.o.,dining
funky izakaya,dining
glasshousecafebylebasq,dining
goldcoast lb ord,dining
goose island l ord,dining
green market-,dining
guava & java mia term,dining
gasthaus rebhuhn,dining
geier- die bäckerei,dining
geier. die bäckerei,dining
gelateria la romana,dining
gerstner catering,dining
gosch-sylt hannover,dining
gragger & cie,dining
gürtel bräu,dining
haagen dazs ,dining
handlebar,dining
hank & frank,dining
heurigenbuffet ernst,dining
hole in the wall pub,dining
hotel sacher blaue bar,dining
henry pier west,dining
hernals. kebap pizza,dining
höflinger ,dining
il mercato,dining
jackson market,dining
javan,dining
jersey mikes ,dining
jonas reindl,dining
jonas reindl ,dining
joseph brot,dining
jamie oliver italien,dining
joseph bäckerei patiss,dining
k und k hoflieferanten,dining
kalinka delicatessen,dining
katsuya hollywood,dining
kent fünfhaus gastrono,dining
kuhls bar,dining
kaffeeküche,dining
kaffein zeitgeist,dining
kaiserpavillon,dining
kleinod,dining
l amour du pain,dining
la rossettisser,dining
lan pan asian cafe,dining
lao lao,dining
le crobag hannover hbf,dining
le don juan,dining
le firin,dining
leburger mariahilfer,dining
lenbachs e sat,dining
lieferando.at lieferse,dining
macondo coffee roaster,dining
mammoth mtn food,dining
master concession air,dining
matsu premium teacof,dining
mca - phg,dining
mcdonald's f,dining
mei shi shop & eat,dining
miccosukee golf-pro sh,entertainment
modi ,dining
motto brot,dining
mulberry street pizzer,dining
manameierei,dining
manner shop vie airpor,dining
matco,dining
mcdonalds ,dining
med and law,dining
mel & koffie,dining
moby dick vienna,dining
mochi ramen bar,dining
noshi co,dining
nyx*lhgrouptastemore,dining
nella pizza e pasta,dining
oben,dining
obica' mozzarella bar,dining
offerl mariahilfer s,dining
offerl schottengasse,dining
offerl wahringer,dining
offerl wollzeile,dining
old jerusalem restaura,dining
oberlaa konditorei-ger,dining
offerl - schottengasse,dining
panther coconut grove,dining
papi tacos & churros,dining
pinecrest bakery ,dining
pizzeria amore mio,dining
pizzeria la spiga,dining
py *mca  wwmg,dining
peter pane kassel,dining
pizzeria angolo ,dining
qero bar restaurant,dining
rasthaus rohrhaus,dining
red oak snack bar,dining
rest beaver brewing,dining
restaurant martinelli,dining
restaurant wilder ma,dining
ritualgallerycafenor,dining
rob s family bbq,dining
rocambolesc girona,dining
ryo sushi,dining
ram s,dining
ramasuri,dining
restaurant,dining
restaurant altes jäger,dining
restaurant bandonion,dining
restaurant laguna,dining
s & l strandcafe,dining
sarl note bleue,dining
say tea & smile,dining
sc sas cafefin,dining
schuhbecks e sat,dining
schwirtz,dining
shake shack ,dining
shake shack - ,dining
so coffee roasters,dining
sofi,dining
sol de nit,dining
spirit airlines onboar,dining
sq *atelier monnier da,dining
sq *cafe grumpy - cora,dining
sq *cocowalk salt & st,dining
sq *coop,dining
sq *copper top bbq,dining
sq *crema gourmet espr,dining
sq *dayglow chicago,dining
sq *dr smood south mia,dining
sq *element wood fire,dining
sq *espresso mafia,dining
sq *gallery cafe : ave,dining
sq *hot lime,dining
sq *la santa taqueria,dining
sq *madruga bakery,dining
sq *mia market miami,dining
sq *panther coffee,dining
sq *santo dulce|,dining
sq *suite habana cafe,dining
sq *the wharf miami ca,dining
sq *union beer store,dining
sq *vias empandas,dining
sq *welcome to brewing,dining
starbucks,dining
starbucks ,dining
stefans grill,dining
street brickell,dining
suerte srl,dining
sagi restaurant,dining
schanzenbaeckerei gros,dining
som kitchen,dining
speisekammer,dining
starke baecker kg fil,dining
steinmetz gastro gm,dining
strasser gastronomie,dining
street grill,dining
ströck  kardinal-n,dining
ströck  löwengasse,dining
ströck  meidling u,dining
ströck  schwedenpl,dining
ströck  wien nord,dining
sumup  *balthasar kaf,dining
sumup  *balthasar kaff,dining
sumup  *cafe cay gmbh,dining
sumup  *cafe le march,dining
sumup  *cafe le marche,dining
sumup  *cafe tagsueber,dining
sumup  *cafe truth,dining
sumup  *caffecouture,dining
sumup  *combi coffee-n,dining
sumup  *combi coffeen,dining
sumup  *crispy dream,dining
sumup  *eissalon dolce,dining
sumup  *empress eu,dining
sumup  *fenster cafe,dining
sumup  *grey kaffee,dining
sumup  *ichiban tea,dining
sumup  *im werkzeug  g,dining
sumup  *mendivil & blo,dining
sumup  *ottakringer be,dining
sumup  *paremi gmbh,dining
sumup  *takumi ramen u,dining
sumup  *the green room,dining
sumup  *the pelican c,dining
sumup  *the pelican co,dining
sumup  *wiki wiki poke,dining
sumup  *zm gastro gmbh,dining
swing kitchen,dining
taco bell ,dining
tea room,dining
the cleat @ boater's g,dining
the lala flughafen,dining
the lala neubaugasse,dining
the spot cafe and loun,dining
the travelkitchen,dining
tst* aida miami,dining
tst* aguacate,dining
tst* barsecco,dining
tst* beatnik west town,dining
tst* berghoff restaura,dining
tst* chef adriannes vi,dining
tst* cvi.che  - dad,dining
tst* doral yard - dora,dining
tst* dos urban cantina,dining
tst* el taquito - coco,dining
tst* fora,dining
tst* greenstreet cocon,dining
tst* hogsalt - aster h,dining
tst* hubbard inn,dining
tst* hogsalt - small c,dining
tst* intelligentsia -,dining
tst* leye - do-rite do,dining
tst* lincoln's beard b,dining
tst* lokal - coconut g,dining
tst* miami mojito comp,dining
tst* manta aqp,dining
tst* pisco kendall,dining
tst* pizza johny s,dining
tst* quarterdeck  dani,dining
tst* rebel & rye,dining
tst* redbar - brickell,dining
tst* royal palms shuff,dining
tst* redfish by chef a,dining
tst* spanglish plus gr,dining
tst* stan's donuts - d,dining
tst* salsas taqueria -,dining
tst* sports grill - pa,dining
tst* the violet hour,dining
tst* tacos & tattoos f,dining
tst* the fat shallot -,dining
tst* tiki tiki,dining
tst* velvet taco - gol,dining
tst* veza sur brewing,dining
tst* vegan cuban cuisi,dining
tst* xoco,dining
taqueria la ventana,dining
vanini swiss choco,dining
vap restaurants gmbh,dining
velobis,dining
wein & co wien schotte,dining
wendy's  ,dining
wiener wurstelstand,dining
wingstop ,dining
weingut wieninger,dining
yard house ,dining
yamm|,dining
zoot's cafe ord,dining
zur alten kaisermuehle,dining
zur grunen laterne,dining
iz *la fabirca,dining
amzn digital*hiuhy,merchandise
amzn digital*suya,merchandise
amzn digital*te,merchandise
amzn digital*vfm,merchandise
amzn digital*yqazov,merchandise
biltmore golf course,entertainment
cog hill golf and coun,entertainment
cafe sharky,dining
dc briar bay golf,entertainment
eb *american comedy ni,entertainment
futbol club barcelona,entertainment
glf*miccosukeegolf,entertainment
glf*sydneymarovitz,entertainment
golf-club wien,entertainment
golfclub wienerberg,entertainment
haus des meeres,entertainment
kindle svcs*acgkfl,learning
kindle svcs*bmh,learning
kindle svcs*hfceta,learning
kindle svcs*hfxdll,learning
kindle svcs*it,learning
kindle svcs*kcl,learning
kindle svcs*kpkq,learning
kindle svcs*taqol,learning
kindle svcs*uafu,learning
kindle svcs*vclb,learning
kindle svcs*wn,learning
merrick park cinema ,entertainment
moco museum barcelona,entertainment
pev entertainment,entertainment
porgy & bess,entertainment
rcd espanyol taquilla,entertainment
regal cinemas mobile a,entertainment
regal kendall   ,entertainment
restaurant fundacio jo,entertainment
redland golf & country,entertainment
schönbrunner tiergarte,entertainment
stadionbad,entertainment
stadthallenbad,entertainment
uzr*haydnkino.at,entertainment
workout freizeitanlage,exercise
 - brickell city,car/bike/metro
advance auto parts ,car/bike/metro
chevron ,car/bike/metro
city of dania beach,car/bike/metro
city of south miami,car/bike/metro
coh prking pay by phon,car/bike/metro
commercial pay vacuums,car/bike/metro
coral gables g parkin,car/bike/metro
economy park ride mia,car/bike/metro
exxonmobil    ,car/bike/metro
laz parking ,car/bike/metro
"miller tire , inc",car/bike/metro
mpa parking pay by pho,car/bike/metro
oeamtc reisen  ,car/bike/metro
paradise parking,car/bike/metro
park one of flordiaqps,car/bike/metro
parking pay phone,car/bike/metro
parkjockey miami llc.,car/bike/metro
parkone mayfair ,car/bike/metro
reef ,car/bike/metro
shell oil ,car/bike/metro
shops at st. tropez,merchandise
speedway  rt  ,car/bike/metro
sunny isles parking me,car/bike/metro
westar gas,car/bike/metro
apotheke zum weissen k,health care
bartholomaeus apotheke,health care
bushplanet clones,entertainment
cvs/pharmacy ,health care
erzherzog karl apothek,health care
farmacia isabel romera,health care
mueller mha handelsgmb,merchandise
navarro discount pharm,groceries
rossmann ,health care
san francisco animal,pet care
walgreens ,health care
 corners wct travel i,insurance
superpedestrian,car/bike/metro
airbnb  hmyreeaeyb,travel
autogrill gmbh,dining
hotel imperial vienna,dining
joe&joe vienna,dining
park hyatt vienna f&b,dining
sc hotel du cen,dining
the ritz carlton key b,dining
the ritz carlton keyb,dining
the ritz carlton vienn,dining
 wien,merchandise
adidasat www.adidas.at,merchandise
ale-hop,merchandise
amazon.de amazon.de,merchandise
amzn mktp de*cvjt,merchandise
amzn mktp de*rdl,merchandise
amzn mktp de*rljzh,merchandise
amzn mktp de*ajyda,merchandise
amzn mktp de*anzo,merchandise
amzn mktp de*augxf,merchandise
amzn mktp de*foqvy,merchandise
amzn mktp de*gdgy,merchandise
amzn mktp de*gjij,merchandise
amzn mktp de*helql,merchandise
amzn mktp de*hhpuo,merchandise
amzn mktp de*jocl,merchandise
amzn mktp de*kelf,merchandise
amzn mktp de*kmr,merchandise
amzn mktp de*lypkxc,merchandise
amzn mktp de*mezuo,merchandise
amzn mktp de*ofat,merchandise
amzn mktp de*pbom,merchandise
amzn mktp de*pjp,merchandise
amzn mktp de*qhagsx,merchandise
amzn mktp de*uqkwj,merchandise
amzn mktp de*xcqvb,merchandise
amzn mktp us*hccz,merchandise
amzn mktp us*hgcsh,merchandise
amzn mktp us*hroq,merchandise
amzn mktp us*hujhk,merchandise
apple.com/bill,merchandise
apple.com/us,merchandise
aycan supermarkt,groceries
alladean warenhandels,merchandise
antikhandel emil,merchandise
atak sultan,merchandise
barnes & noble ,merchandise
bestbuycom,merchandise
bike masters,merchandise
billa dankt,groceries
billa online shop,groceries
bipa dankt,groceries
bloomingdales  north m,merchandise
blumen am kutschkermar,merchandise
buchhandlung graben,learning
buchhandlung orlando,learning
back market,merchandise
bike gmbh,exercise
blumen barbara kugl,merchandise
blumenkultur,merchandise
buchhandlung volksoper,learning
candy shop vie gmbh,merchandise
carrefour city,groceries
carrefour expre,groceries
casa mexico,groceries
cub foods broadway,groceries
cycle world,exercise
cypress gardens flower,merchandise
calienna,merchandise
canyon bicycles gmbh,exercise
der bergspezl,exercise
dibbern gmbh,merchandise
dm-fil. ,groceries
dollar tree,merchandise
dornauers handwerkerho,merchandise
edeka fehner,groceries
espressorado,merchandise
espressorado e. u.,merchandise
eurospar dankt ,groceries
echt günstig,merchandise
elefant am nil gbr,merchandise
fenster cafe,merchandise
fleca oriell,merchandise
frutas jaime,merchandise
galloway farm nursery,merchandise
golf house wien,exercise
golf-star,exercise
goodwill industries ,merchandise
gps- michigan,merchandise
gruppo argenta s.p.a.,merchandise
gärtnerei dipl. ing zi,merchandise
haardt & krueger,merchandise
halfprice mariahilfer,merchandise
hm at,merchandise
hudsonnews  st,merchandise
hervis fil.,merchandise
hofer dankt,groceries
ikea austria onlinesho,home
ikea europaplatz,home
ikea miami,home
ikea wien nord,home
interspar dankt,groceries
interspar dankt ,groceries
interspar wien,groceries
internetstores,merchandise
interspar fil. ,groceries
interspor winninger st,exercise
jack&jones wien,merchandise
khm-museumsverband onl,entertainment
killian green golf clu,entertainment
kiosk pavillon ,groceries
kismet supermarkt,groceries
kosterei,merchandise
la rinascente duomo ,merchandise
leporello die buchhand,learning
libro fil.,merchandise
ls mack cycle and fitn,exercise
luini srl,merchandise
laderach usa inc lader,merchandise
lidl dankt ,groceries
manifattura valcismon,merchandise
marchesi  s.r.l.,merchandise
mariscos noemi,merchandise
market roger de flor,merchandise
markta gmbh,merchandise
marshalls ,merchandise
matryoshka deli food,groceries
mini markt,groceries
molt bo gourmet,merchandise
media markt ,merchandise
mediamarkt a-,merchandise
meinl am graben fil. ,groceries
mjam gmbh_cnd-hwc,dining
mjam gmbh_kzrr-z,dining
mjam gmbh_sbag-cu,dining
mjam gmbh_ybpe-unsa,dining
mjam gmbh_yn-um,dining
mountainbiker,exercise
mountainbiker dankt,exercise
multi trade handel,merchandise
neu*prater wien gmbh,entertainment
nordstrom rack ,merchandise
obi bau- und heimwerke,home
openai,learning
ottoversand.at,home
paypal *enjoyyourca,merchandise
paypal *momox se,home
pingo doce,merchandise
pingo doce matosinho,merchandise
pipeworks brewing co,merchandise
prometeu iii,merchandise
publix ,groceries
publix supermarkets ,groceries
peek & cloppenburg,merchandise
post ,merchandise
post fa ,merchandise
relay sc,merchandise
relay y,merchandise
rewe niklas gerlach oh,merchandise
reisinger shop,merchandise
sas capsud exploitatio,merchandise
sephora dadeland,merchandise
sewa fil.,merchandise
shakespeare company,learning
sp ass savers,exercise
sp black fodder coff,merchandise
sp cocoa plus compan,merchandise
spar dankt ,groceries
spc*d. s. blumen,merchandise
sq *cerveceria la trop,dining
sq *forno italiano piz,dining
sq *matryoshka,dining
sq *outrageous bagel c,dining
sq *roy de france,dining
sq *steve's flower mar,dining
steffl outlet,merchandise
steffl sport,exercise
spar fil. ,groceries
store u stories,merchandise
sumup  *am garbanzo g,dining
sumup  *am garbanzo ga,dining
sumup  *die markthumme,dining
sumup  *finks-lebensmi,dining
sumup  *fisch und co.,dining
sundays handels gmb,merchandise
the fresh market ,groceries
tjmaxx ,merchandise
tk maxx vienna,merchandise
tk maxx,merchandise
total wine and more,groceries
trader joe's  qps,groceries
tst* gangnam market em,merchandise
thalia.at fil.,learning
urban market,groceries
uzr*bike  gmbh,exercise
veganista neustiftga,merchandise
veganista taborstras,merchandise
vivobarefoot,exercise
vons ,merchandise
verlag d. oegb gmbh,merchandise
westwingnow.de ,home
wholefds cgb ,groceries
wholefds goc ,groceries
winn-dixie   ,groceries
www.bodum.com,home
wynwood walls llc,entertainment
xxxlutz wien ,home
yesss.at,utilities
zara ,merchandise
zen wine & spirits,groceries
denn s wien mariahstr,merchandise
ef-d--,merchandise
home se,home
"artistworks, llc",home
amazon.de,merchandise
chatterbug learning,learning
italki hk limited,learning
lpd wien - verkehrsamt,car/bike/metro
piano teachers connect,learning
vienna piano,learning
wr.staedt.vers. ,car/bike/metro
commune d antibes,car/bike/metro
commune de nice,car/bike/metro
csc serviceworks ultra,car/bike/metro
fairchild garden,entertainment
fit fabrik walcherstr.,exercise
gfm*gofundme annely ho,donation
ma  weingut cobenzl,dining
me group austria gmbh,dining
rmngp musee chagall,entertainment
stadt wien ma  hütte,exercise
stadt wien ma  jörge,exercise
stadt wien ma  kongr,exercise
tamiami park,exercise
usps po ,merchandise
airbnb  hmefrd,travel
airbnb * hmaqzcr,travel
autostradale srl,car/bike/metro
bremer stra enbahn ag,car/bike/metro
cless ticket atm milan,car/bike/metro
db vertrieb gmbh,travel
federal express gmbh,merchandise
kiwi.com,travel
lyft    ride -,car/bike/metro
lyft    rides -,car/bike/metro
loja portuguez,car/bike/metro
metro barcelona,car/bike/metro
nextbike by tier,car/bike/metro
nextbikeatvienna,car/bike/metro
oebb ticket automat,travel
regie ligne d azur,car/bike/metro
renfe ave  ,travel
sncf,travel
tui airlines ecom,travel
tier mobility se,car/bike/metro
uber   trip,car/bike/metro
uber *trip help.uber.c,car/bike/metro
ventra account,car/bike/metro
ventra mobile,car/bike/metro
wiener linien ,car/bike/metro
www.headout.com,travel
tmobile*prepaid web,utilities
etsy.com - ikechop,home
sumup  *m.a.c.- hoffma,dining
tip,donation
kaffeekuche,dining
das kolin,dining
sumup  *cafe comet,dining
cafe savoy,dining
hbla für gartenbau und,home
cafe konditorei heiner,dining
uzr*bergzeit.at,exercise
secret garden,home
tjx oesterreich ltd.,merchandise
webshop burgtheater,entertainment
florida driving recor,car/bike/metro
st martin kg,groceries
apapika bowls,dining
der kunstverein in bre,entertainment
alex bremen (),dining
paypal *vbn,merchandise
emma am see,dining
spielbar,entertainment
obi bau-und heimwerker,home
sport & fun halle otta,entertainment
würstelstand albertina,dining
sumup *caffecouture,dining
sumup *baharak & nima,dining
sumup  *ikonomu konsta,merchandise
sumup  *kaffeefabrik s,dining
gerstner k u k,dining
village gallery,entertainment
dean & david europlaza,dining
ryanairtpmcxa,travel
etsy.com - plantscrape,merchandise
